Keyword,Currency,Avg. monthly searches,Thay ??i trong ba tháng,Thay ??i so v?i cùng k? n?m tr??c,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
n??c hoa hi?u con r?n,VND,20,0%,-67%,Cao,100,,,,,,,,40,30,10,10,10,20,40,20,10,10,20,10
n??c hoa hi?u dior,VND,20,-33%,-33%,Cao,95,338,1834,,,,,,20,20,20,20,20,20,20,20,10,30,20,20
n??c hoa hi?u sì,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hi?u versace,VND,30,-25%,0%,Cao,100,463,1873,,,,,,40,30,30,20,20,20,20,40,30,40,40,30
n??c hoa hi?u ysl,VND,10,-33%,0%,Cao,100,135,1508,,,,,,10,20,10,10,20,10,10,10,10,30,10,20
n??c hoa hm n?,VND,50,-40%,-67%,Cao,100,249,2458,,,,,,50,70,70,30,40,40,40,50,40,50,50,30
n??c hoa hm twilly,VND,20,50%,200%,Cao,86,,,,,,,,10,40,20,20,20,10,20,10,20,20,10,30
n??c hoa hollister nam,VND,50,-20%,-43%,Cao,100,,,,,,,,50,50,50,40,30,40,40,50,40,50,40,40
n??c hoa hollister n?,VND,40,-80%,-75%,Cao,100,,,,,,,,50,50,30,40,20,30,40,40,30,50,40,10
n??c hoa hugo boss 200ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10
n??c hoa hugo boss 50ml n?,VND,10,0%,0%,Không xác ??nh,,,,,,,,,10,0,10,0,10,10,0,0,0,0,0,0
n??c hoa hugo boss bottled,VND,30,0%,0%,Cao,100,302,2093,,,,,,30,50,20,10,10,10,10,30,40,50,30,50
n??c hoa hugo boss bottled night,VND,20,0%,-50%,Cao,86,,,,,,,,10,70,40,10,10,10,10,10,10,20,20,20
n??c hoa hugo boss bottled night 100ml,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,0,0,10,0,0,0,10,0,0
n??c hoa hugo boss bottled unlimited,VND,10,0%,0%,Trung bình,50,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hugo boss cho nam,VND,10,?,0%,Cao,100,,,,,,,,0,0,0,10,10,0,10,10,0,0,10,10
n??c hoa hugo boss chính hãng,VND,20,-50%,-75%,Cao,100,918,8212,,,,,,20,30,20,30,20,20,20,20,30,20,20,10
n??c hoa hugo boss c?a n??c nào,VND,20,0%,-67%,Cao,100,,,,,,,,50,30,30,20,10,10,20,20,10,10,10,10
n??c hoa hugo boss dark blue,VND,30,0%,0%,Cao,98,,,,,,,,50,40,30,20,40,20,10,20,20,30,30,30
n??c hoa hugo boss deep red,VND,20,150%,400%,Cao,99,442,9915,,,,,,20,10,10,10,10,10,20,30,20,20,30,50
n??c hoa hugo boss energise,VND,20,0%,100%,Cao,100,,,,,,,,20,30,20,10,20,20,10,20,30,20,10,20
n??c hoa hugo boss man,VND,110,0%,-36%,Cao,100,230,2973,,,,,,170,140,140,110,70,90,70,90,70,90,70,90
n??c hoa hugo boss mavie,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,0
n??c hoa hugo boss mini,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,10,0,0,10,10,10,10,10
n??c hoa hugo boss nam 125ml,VND,10,0%,0%,Cao,75,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hugo boss nam 200ml,VND,20,100%,100%,Cao,100,146,1884,,,,,,10,10,20,70,30,20,10,20,10,10,10,20
n??c hoa hugo boss night,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10
n??c hoa hugo boss nuit pour femme,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
n??c hoa hugo boss n? 30ml,VND,40,-60%,-71%,Cao,100,,,,,,,,40,70,50,20,40,30,30,40,50,50,10,20
n??c hoa hugo boss orange n?,VND,10,?,0%,Th?p,24,,,,,,,,10,10,10,0,10,10,10,10,10,0,10,10
n??c hoa hugo boss red,VND,10,0%,0%,Cao,79,,,,,,,,10,10,10,10,10,0,10,10,0,10,10,10
n??c hoa hugo boss selection,VND,10,-50%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10
n??c hoa hugo boss the scent,VND,30,50%,-25%,Cao,89,275,13161,,,,,,50,20,40,20,20,10,20,20,20,20,30,30
n??c hoa hugo boss the scent for her,VND,10,-50%,0%,Cao,98,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10
n??c hoa hugo boss the scent n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,0,0,0,10,10,10,10,10,0,10
n??c hoa hugo boss tonic,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,30,20,10,10,10,10,10,10,10,10,0,0
n??c hoa hugo boss unlimited,VND,10,0%,0%,Cao,82,,,,,,,,10,10,10,20,10,30,20,40,10,10,10,10
n??c hoa hugo boss xy,VND,10,0%,0%,Cao,86,,,,,,,,10,10,0,10,10,10,10,0,10,10,10,10
n??c hoa hugo boss ??n,VND,10,0%,0%,Không xác ??nh,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
n??c hoa hugo n?,VND,40,-20%,-20%,Cao,100,678,2245,,,,,,20,30,50,30,30,20,40,50,50,50,30,40
n??c hoa hypnotic poison,VND,10,0%,0%,Trung bình,60,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hàn qu?c cho n?,VND,50,75%,0%,Cao,96,,,,,,,,50,50,40,40,40,30,40,20,50,40,70,70
n??c hoa hàn qu?c de memoria,VND,10,-50%,-50%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,20,20,10
n??c hoa hàn qu?c dành cho n?,VND,10,0%,-75%,Cao,96,,,,,,,,10,10,10,10,20,20,50,10,10,10,10,10
n??c hoa hàng hi?u 257,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,10,10,10,0,10,10,10,10,0,0,10,0
n??c hoa hàng hi?u cho nam,VND,20,-67%,-75%,Cao,100,1034,3485,,,,,,10,30,10,20,20,20,10,20,10,30,20,10
n??c hoa hàng hi?u cho n?,VND,30,0%,33%,Cao,100,485,2553,,,,,,20,30,20,30,20,30,30,50,10,40,40,40
n??c hoa hàng hi?u nam,VND,10,0%,0%,Cao,95,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hàng hi?u n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa hình body nam,VND,90,22%,22%,Cao,100,333,1007,,,,,,70,90,70,70,50,90,110,90,110,90,140,110
n??c hoa hình chi?c giày,VND,40,-60%,-60%,Cao,99,,,,,,,,30,40,50,50,50,40,50,50,30,50,50,20
n??c hoa hình ng??i n?,VND,50,40%,-22%,Cao,100,,,,,,,,70,50,50,70,50,50,50,50,50,50,70,70
n??c hoa hình qu? táo,VND,40,0%,-20%,Cao,100,,,,,,,,50,50,50,30,30,40,30,50,40,40,40,40
n??c hoa h??ng bi?n cho n?,VND,20,-50%,-50%,Cao,100,,,,,,,,20,30,30,20,10,20,20,10,10,20,10,10
n??c hoa h??ng b?c hà dành cho n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa h??ng cam chanh cho n?,VND,30,0%,-33%,Cao,100,,,,,,,,20,40,30,30,20,40,30,40,20,20,20,20
n??c hoa h??ng g? cho n?,VND,50,0%,0%,Cao,100,135,1305,,,,,,50,40,50,30,40,30,40,40,30,70,50,70
n??c hoa h??ng g? x? h??ng,VND,10,0%,100%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,20
n??c hoa h??ng hoa c? ph??ng ?ông,VND,10,0%,0%,Cao,76,,,,,,,,20,10,20,10,10,10,10,10,10,10,10,10
n??c hoa h??ng hoa nhài dior,VND,10,0%,0%,Cao,82,,,,,,,,10,10,10,20,10,10,10,10,10,10,10,10
n??c hoa h??ng hoa sen cho n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,20,20,20,10,10,10,20,10,10,10
n??c hoa h??ng ng?c lan,VND,20,0%,0%,Cao,100,,,,,,,,20,20,20,10,20,10,30,30,10,10,10,10
n??c hoa h??ng nho,VND,10,0%,0%,Cao,71,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa h??ng nhài cho n?,VND,40,-25%,-57%,Cao,90,129,2093,,,,,,40,70,50,40,50,30,40,50,50,40,40,30
n??c hoa h??ng qu?,VND,10,100%,-33%,Cao,83,,,,,,,,10,10,20,20,10,10,10,10,10,10,20,20
n??c hoa h??ng th? platinum,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa h??ng trà xanh cho n?,VND,10,0%,0%,Cao,100,,,,,,,,0,10,20,10,10,10,10,10,10,10,10,10
n??c hoa h??ng trái cây cho n?,VND,20,100%,-50%,Cao,99,108,2091,,,,,,30,40,30,30,30,10,10,20,20,10,10,20
n??c hoa h??ng tr?m,VND,30,0%,0%,Cao,89,,,,,,,,30,50,20,20,20,20,30,30,20,30,10,30
n??c hoa h??ng ?ào,VND,30,100%,-60%,Cao,100,,,,,,,,30,50,40,40,30,30,20,10,10,10,20,20
n??c hoa h? long,VND,20,0%,0%,Cao,86,,,,,,,,20,30,30,20,10,10,10,10,10,20,10,20
n??c hoa h?i d??ng,VND,20,-75%,0%,Cao,93,1391,3065,,,,,,50,10,20,10,20,10,20,20,20,40,20,10
n??c hoa h?i phòng,VND,90,-50%,-22%,Cao,100,519,2916,,,,,,90,90,70,70,90,70,90,70,90,140,110,70
n??c hoa h?n hò cho n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,10,10,10,0,10,10,10,10
n??c hoa h?c sinh n?,VND,10,?,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10
n??c hoa h?ng chanel,VND,20,-33%,-33%,Cao,94,,,,,,,,20,20,20,10,10,20,30,10,20,30,10,20
n??c hoa h?i an,VND,20,50%,0%,Cao,81,,,,,,,,20,20,10,20,10,20,10,20,20,20,30,30
n??c hoa i want choo,VND,90,-22%,-36%,Cao,99,353,2353,,,,,,110,110,140,70,70,70,90,70,70,90,90,70
n??c hoa idole 50ml,VND,20,0%,-50%,Cao,100,564,2953,,,,,,40,20,20,20,20,20,10,20,10,10,20,10
n??c hoa idole lancome 100ml,VND,30,800%,29%,Cao,100,776,3022,,,,,,40,30,20,40,30,10,30,10,20,10,30,90
n??c hoa idole lancome 25ml,VND,20,100%,0%,Cao,100,1601,2973,,,,,,20,30,10,10,10,10,40,50,40,10,10,20
n??c hoa idole lancome 50ml,VND,10,0%,-89%,Cao,100,,,,,,,,10,10,20,10,20,10,10,10,10,10,10,10
n??c hoa idole lancome 5ml,VND,10,0%,0%,Cao,100,,,,,,,,0,10,10,10,0,0,10,0,10,10,10,10
n??c hoa idole lancome 75ml,VND,20,200%,50%,Cao,100,855,3892,,,,,,10,20,30,10,10,10,30,20,10,10,40,30
n??c hoa imari,VND,30,0%,-50%,Cao,100,,,,,,,,30,30,40,20,30,20,30,20,20,20,20,20
n??c hoa imari chính hãng,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa imari màu tím,VND,10,-50%,-67%,Cao,100,,,,,,,,10,20,10,10,10,10,10,10,10,20,10,10
n??c hoa impress,VND,10,0%,0%,Cao,89,,,,,,,,10,20,10,10,10,10,10,10,10,10,10,10
n??c hoa incanto,VND,70,0%,-55%,Cao,100,1973,2975,,,,,,90,90,110,90,70,50,40,70,50,50,50,50
n??c hoa incanto shine,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
n??c hoa incognito n?,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,10,10,0,10,0,10,0,10,10,0
n??c hoa indeed,VND,10,0%,0%,Cao,74,,,,,,,,10,10,10,10,10,10,0,0,10,10,10,10
n??c hoa individual blue for her,VND,10,0%,0%,Cao,82,,,,,,,,10,10,0,10,10,10,10,10,10,10,10,10
n??c hoa infinity n?,VND,20,200%,-57%,Cao,100,,,,,,,,30,30,40,20,10,20,20,30,20,10,20,30
n??c hoa instyle,VND,10,0%,0%,Cao,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,20,10
n??c hoa intenso,VND,50,0%,-56%,Cao,99,435,2093,,,,,,70,70,70,50,40,40,40,50,40,40,30,40
n??c hoa intenso dolce & gabbana,VND,10,100%,100%,Cao,99,238,1679,,,,,,10,10,10,10,10,10,10,10,10,10,20,20
n??c hoa invictus,VND,170,21%,0%,Cao,100,203,2679,,,,,,170,170,170,170,140,110,110,170,170,140,170,170
n??c hoa invictus 100ml giá bao nhi?u,VND,30,100%,-33%,Cao,100,,,,,,,,50,50,30,20,20,50,30,20,20,10,30,20
n??c hoa invictus paco rabanne,VND,20,0%,0%,Cao,94,436,4697,,,,,,20,30,20,10,10,20,10,30,20,20,20,20
n??c hoa iris n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,30,20,10,20,10
n??c hoa islanders,VND,10,0%,0%,Th?p,13,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa issey miyake l eau d issey pure,VND,10,0%,0%,Trung bình,56,,,,,,,,10,20,20,20,10,10,10,10,10,10,10,10
n??c hoa issey miyake n?,VND,50,-29%,0%,Cao,100,817,1946,,,,,,50,40,50,30,40,40,70,50,50,70,90,50
n??c hoa izzi,VND,260,-19%,24%,Cao,82,,,,,,,,170,170,210,170,210,260,210,320,390,320,320,260
n??c hoa j adore c?a dior,VND,10,0%,0%,Không xác ??nh,,,,,,,,,10,10,10,10,0,0,10,10,10,0,10,0
n??c hoa j adore mini,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10
n??c hoa jadore 100ml,VND,30,25%,25%,Cao,100,572,6937133,,,,,,30,10,70,50,20,20,20,20,10,40,50,50
n??c hoa jasmin noir,VND,30,0%,-50%,Cao,99,1168,4129,,,,,,40,40,20,20,40,30,20,20,20,20,20,20
n??c hoa jazi,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa jc,VND,140,0%,-18%,Cao,100,270,1678,,,,,,170,260,210,140,110,140,110,110,110,140,110,140
n??c hoa jean miss chính hãng,VND,50,-20%,-64%,Cao,100,,,,,,,,90,90,110,40,40,40,40,20,20,50,30,40
n??c hoa jean miss n?,VND,30,-50%,-71%,Cao,100,,,,,,,,50,30,50,20,20,20,20,40,30,40,20,20
n??c hoa jean paul gaultier la belle,VND,30,1000%,450%,Cao,100,398,2928,,,,,,30,20,10,20,10,20,50,40,20,10,50,110
n??c hoa jean paul gaultier le beau n?,VND,30,-33%,-50%,Cao,97,,,,,,,,30,30,50,30,20,10,40,20,30,30,10,20
n??c hoa jean paul gaultier scandal by night,VND,10,0%,0%,Cao,67,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa jean paul gaultier scandal edp 80ml,VND,10,0%,0%,Trung bình,64,,,,,,,,10,20,20,10,10,10,10,10,10,10,10,10
n??c hoa jean paul la belle,VND,10,100%,0%,Cao,100,331,2265,,,,,,10,10,10,20,10,10,10,10,10,10,10,20
n??c hoa jean paul n?,VND,50,-29%,-44%,Cao,100,310,1197,,,,,,50,50,50,40,40,40,50,50,40,70,70,50
n??c hoa jeanne arthes,VND,20,-50%,-67%,Cao,100,,,,,,,,30,20,10,10,20,20,20,20,10,20,10,10
n??c hoa jenny glow,VND,10,0%,0%,Cao,78,,,,,,,,10,10,10,10,20,20,10,10,10,10,10,10
n??c hoa jessica simpson,VND,10,-50%,-50%,Trung bình,66,,,,,,,,10,30,20,10,10,20,10,10,10,20,10,10
n??c hoa jile,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa jimmy choo 40ml,VND,30,-33%,-50%,Cao,100,286,1679,,,,,,40,40,30,10,30,10,20,20,20,30,20,20
n??c hoa jimmy choo blossom 40ml,VND,10,200%,200%,Cao,96,200,2680,,,,,,10,10,10,10,10,10,10,10,20,10,10,30
n??c hoa jimmy choo c?a n??c nào,VND,30,-50%,-50%,Cao,100,,,,,,,,40,30,40,20,20,30,30,20,40,40,20,20
n??c hoa jimmy choo illicit,VND,20,300%,0%,Cao,99,,,,,,,,20,30,20,20,10,20,20,20,20,10,40,40
n??c hoa jimmy choo nam,VND,40,0%,-67%,Cao,100,165,1529,,,,,,30,30,40,70,30,90,90,50,30,30,30,30
n??c hoa jimmy choo n? 40ml,VND,20,-50%,-75%,Cao,100,,,,,,,,20,20,10,10,10,20,10,20,10,20,10,10
n??c hoa jimmy choo ??,VND,30,-78%,100%,Cao,86,,,,,,,,10,40,70,50,10,10,10,10,10,90,10,20
n??c hoa jo madragon 30ml,VND,10,0%,0%,Không xác ??nh,,,,,,,,,0,0,10,10,0,0,0,0,10,0,0,0
n??c hoa jo malone wild bluebell,VND,50,40%,0%,Cao,100,288,2195,,,,,,70,50,70,40,50,70,40,50,40,50,50,70
n??c hoa jolie dion,VND,30,0%,33%,Cao,100,,,,,,,,30,30,20,30,40,30,50,10,10,40,30,40
n??c hoa jolie dion chính hãng,VND,30,-33%,-33%,Cao,97,,,,,,,,30,40,20,20,30,40,40,20,30,30,40,20
n??c hoa jolie dion coco,VND,10,0%,0%,Cao,100,,,,,,,,10,0,10,10,0,10,10,10,10,10,10,10
n??c hoa joop n?,VND,20,0%,0%,Cao,100,,,,,,,,30,30,30,20,20,10,10,20,20,20,30,20
n??c hoa jordache,VND,10,0%,-50%,Trung bình,50,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10
n??c hoa jose rodrico,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa jour d hermes,VND,20,0%,0%,Cao,83,,,,,,,,20,20,20,20,10,10,10,20,20,20,20,20
n??c hoa joy dior,VND,50,-20%,-43%,Cao,95,1080,2093,,,,,,50,50,70,50,70,50,50,40,30,50,30,40
n??c hoa joy dior 50ml,VND,30,0%,-60%,Cao,100,,,,,,,,40,50,30,20,40,30,20,50,30,20,30,20
n??c hoa joy dior 5ml,VND,10,0%,0%,Th?p,26,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa juicy couture 100ml,VND,30,0%,-40%,Cao,100,,,,,,,,40,30,50,30,30,20,10,30,10,30,20,30
n??c hoa juicy couture 30ml,VND,10,-50%,-50%,Cao,97,,,,,,,,10,20,20,20,10,10,10,10,20,20,10,10
n??c hoa juicy couture 50ml,VND,20,0%,-67%,Cao,99,,,,,,,,40,30,20,10,20,10,20,10,10,10,10,10
n??c hoa juicy couture viva la juicy,VND,10,200%,50%,Cao,96,,,,,,,,20,20,10,10,10,20,20,10,10,10,10,30
n??c hoa k,VND,70,-22%,-22%,Cao,94,,,,,,,,70,70,90,70,70,50,70,50,70,90,70,70
n??c hoa karl lagerfeld fleur de thé,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,0,10,10,10,10,0,0,10,10,10,0,0
n??c hoa karl lagerfeld n?,VND,40,-40%,-57%,Cao,100,,,,,,,,50,50,40,40,30,50,30,50,30,50,50,30
n??c hoa karri 30ml,VND,10,100%,0%,Cao,97,,,,,,,,10,10,10,10,10,10,10,20,20,10,10,20
n??c hoa karri 30ml chính hãng,VND,30,0%,0%,Cao,100,,,,,,,,20,20,20,30,10,40,40,30,30,20,30,20
n??c hoa karri 30ml giá b?o nhi?u,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,10,0,0,0,0,0,0,10,10,0,0,0
n??c hoa karri chính hãng giá bao nhi?u,VND,20,-67%,-75%,Cao,100,,,,,,,,40,30,30,20,20,20,30,10,20,30,20,10
n??c hoa karri collection,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,30,10,20,10,30,10,10,10,10,0,10,0
n??c hoa karri collection chính hãng,VND,10,0%,0%,Không xác ??nh,,,,,,,,,10,10,10,10,10,0,10,0,0,0,0,0
n??c hoa karri màu h?ng,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,0,0,10,10,10,0,0,0,0,10,0,0
n??c hoa karri perfume collection,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,20,10,10,10,10,10,10,10,10,10,0
n??c hoa kate spade new york,VND,10,300%,-20%,Cao,81,,,,,,,,20,20,10,0,10,10,10,10,10,10,10,40
n??c hoa katy perry indi 100ml,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,0,10,0,10,0,10,0,0,0,0,0,0
n??c hoa katy perry indi 30ml,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,10,0,0,0,10,0,10,10,10,0,0,0
n??c hoa katy perry indi visible 100ml,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,30,10,10,10,10,10,10,10,10,10,10,0
n??c hoa katy perry killer queen,VND,10,0%,-89%,Cao,70,,,,,,,,20,20,20,30,20,20,10,10,10,10,10,10
n??c hoa kd n?,VND,20,0%,100%,Cao,100,3298,7284,,,,,,20,10,20,20,10,70,30,20,20,20,10,20
n??c hoa kenneth cole,VND,20,100%,100%,Cao,85,,,,,,,,20,20,20,30,20,20,30,30,10,20,30,40
n??c hoa kenneth cole black,VND,10,0%,?,Cao,100,,,,,,,,10,10,10,0,10,10,0,10,10,10,10,10
n??c hoa kenneth cole for him,VND,10,200%,200%,Th?p,33,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,30
n??c hoa kenneth cole reaction,VND,10,100%,100%,Trung bình,60,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20
n??c hoa kensie,VND,30,0%,-40%,Cao,91,,,,,,,,40,30,40,20,20,20,20,30,20,30,20,30
n??c hoa kenzo 50ml,VND,20,200%,50%,Cao,99,383,10997,,,,,,30,30,20,10,20,20,10,20,20,10,10,30
n??c hoa kenzo flower 30ml,VND,20,-25%,200%,Cao,97,1679,5746,,,,,,10,30,10,10,10,10,30,20,20,40,20,30
n??c hoa kenzo mini,VND,10,0%,0%,Trung bình,40,,,,,,,,30,10,10,10,10,10,10,0,10,10,10,10
n??c hoa kevin n?,VND,40,0%,-71%,Cao,100,462,2743,,,,,,40,40,50,30,50,30,70,20,30,40,40,40
n??c hoa khi?n ?àn ông mê,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa khô cho n?,VND,170,-97%,0%,Cao,100,,,,,,,,10,10,210,170,210,210,210,260,320,390,30,10
n??c hoa khô nicor,VND,10,-50%,-50%,Cao,92,,,,,,,,10,10,30,10,10,10,20,10,20,20,10,10
n??c hoa khô n?,VND,170,-97%,-95%,Cao,100,,,,,,,,20,10,170,210,170,260,260,320,320,390,20,10
n??c hoa khô ?à n?ng,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,10,10,0,10,10,10,0,0,0,0,10,0
n??c hoa kilian 100ml,VND,10,-67%,0%,Cao,100,125,4553,,,,,,10,10,10,10,10,10,10,10,10,30,10,10
n??c hoa kilian avec moi,VND,10,100%,0%,Cao,99,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20
n??c hoa kilian n?,VND,50,-25%,-57%,Cao,100,220,4315,,,,,,70,30,50,70,10,10,30,90,90,40,30,30
n??c hoa kilian r?n ?en,VND,90,0%,-59%,Cao,100,245,2200,,,,,,170,210,110,110,110,90,90,70,40,70,70,70
n??c hoa kilian tr?ng 50ml,VND,40,50%,0%,Cao,100,1202,2680,,,,,,10,40,20,40,10,40,10,90,110,20,20,30
n??c hoa kilian ??u lâu fake,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,0,0,0,0,0,10,10,0,0
n??c hoa king dolce & gabbana,VND,10,0%,0%,Cao,99,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa king n?,VND,10,0%,0%,Cao,86,,,,,,,,10,10,10,10,10,20,10,10,10,10,10,10
n??c hoa klasor,VND,20,0%,0%,Trung bình,56,,,,,,,,20,20,20,20,10,10,30,10,10,20,10,20
n??c hoa kylie minogue,VND,10,0%,-67%,Cao,89,,,,,,,,20,20,20,10,10,10,10,10,10,10,10,10
n??c hoa l imperatrice,VND,140,-21%,22%,Cao,99,241,1335,,,,,,90,170,210,170,110,110,110,110,140,140,110,110
n??c hoa l interdit,VND,70,0%,-36%,Cao,100,122,371,,,,,,90,90,70,70,50,70,50,50,70,70,70,70
n??c hoa l interdit givenchy,VND,30,400%,0%,Cao,87,,,,,,,,40,50,70,30,20,20,10,30,40,10,20,50
n??c hoa la belle,VND,20,-33%,-50%,Cao,99,,,,,,,,20,20,20,20,20,10,30,30,20,30,20,20
n??c hoa la jolie,VND,10,0%,0%,Cao,77,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
n??c hoa la nuit tresor,VND,20,-33%,-60%,Cao,91,448,2972,,,,,,30,40,30,20,10,20,10,20,20,30,10,20
n??c hoa la nuit tresor lancome 75ml,VND,30,-33%,0%,Cao,93,1430,3504,,,,,,20,30,30,30,30,20,10,20,20,30,40,20
n??c hoa la perla,VND,10,0%,0%,Cao,93,,,,,,,,20,10,20,10,10,10,10,10,10,10,10,10
n??c hoa la petite robe noire,VND,10,200%,50%,Cao,100,,,,,,,,10,10,20,20,10,10,10,10,10,10,20,30
n??c hoa la rive in flames,VND,10,0%,0%,Cao,71,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10
n??c hoa la rive n?,VND,110,0%,21%,Cao,100,1399,3132,,,,,,170,140,140,90,110,50,90,90,90,170,170,170
n??c hoa la rive queen of life,VND,30,133%,40%,Cao,80,,,,,,,,30,30,20,20,20,20,10,10,10,30,40,70
n??c hoa la rive touch of woman,VND,10,50%,200%,Cao,100,,,,,,,,30,10,10,10,10,10,10,10,10,20,30,30
n??c hoa la vie est belle 100ml,VND,170,0%,-56%,Cao,100,446,2979,,,,,,170,210,210,140,140,140,210,210,210,140,140,140
n??c hoa la vie est belle 30ml,VND,70,-29%,25%,Cao,100,951,4225,,,,,,70,90,70,50,70,90,40,30,40,70,40,50
n??c hoa la vie est belle 4ml,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,10,10,10,10,0,10,10,0,0
n??c hoa la vie est belle 50ml,VND,30,0%,0%,Cao,100,763,4179,,,,,,20,30,50,40,10,10,70,30,30,20,20,20
n??c hoa la vie est belle 75ml,VND,50,0%,-22%,Cao,100,397,2831,,,,,,110,70,90,30,40,40,40,40,50,70,70,70
n??c hoa la vie est belle 75ml giá bao nhi?u,VND,10,?,0%,Cao,100,,,,,,,,10,10,10,10,10,0,10,10,10,0,10,10
n??c hoa laconic chính hãng,VND,10,100%,0%,Cao,100,,,,,,,,20,30,20,20,10,10,10,10,10,10,20,20
n??c hoa lacoste chính hãng,VND,10,0%,-50%,Cao,100,494,5805,,,,,,20,20,20,10,10,10,10,10,10,20,20,20
n??c hoa lacoste c?a n??c nào,VND,10,0%,0%,Trung bình,50,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa lacoste essential,VND,30,50%,0%,Cao,100,308,3247,,,,,,30,20,20,20,40,30,40,30,20,20,20,30
n??c hoa lacoste l 12.12 pour elle,VND,10,0%,-67%,Cao,100,,,,,,,,10,10,20,30,10,10,10,10,10,10,10,10
